	Mz	Description
1	33.03	"Methanol, [M+H]+, CH3OH, Methanol, solvent"
2	42.03	"ACN, [M+H]+, CH3CN, Acetonitrile, solvent"
3	59.06	"ACN, [M+NH4]+, CH3CN, Acetonitrile, solvent"
4	63.04	"PEG, [A1B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
5	64.02	"ACN, [M+Na]+, CH3CN, Acetonitrile, solvent"
6	65.06	"Methanol, [M2+H]+, CH3OH, Methanol, solvent"
7	74.06	"Dimethyl formamide, [M+H]+, C3H7NO, solvent"
8	74.06	"Acetonitrile/Methanol, [A1B1+H]+, (CH3CN)n(CH3OH)m, ESI solvents"
9	77.06	"PPG, [A1B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
10	79.02	"DMSO, [M+H]+, C2H6OS, Dimethylsulfoxide, solvent"
11	83.06	"Acetonitrile, [M2+H]+, CH3CN, ESI solvents"
12	85.03	"PEG, [A1B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
13	85.06	"d6-DMSO, [M+H]+, C2D6OS, d6-Dimethylsulfoxide, solvent"
14	88.04	"Acetonitrile/Formic Acid, [A1B1+H]+, (CH3CN)n(HCOOH)m, ESI solvents"
15	96.04	"Acetonitrile/Methanol, [A1B1+Na]+, (CH3CN)n(CH3OH)m, ESI solvents"
16	99.04	"PPG, [A1B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
17	100.08	"NMP, [M+H]+, C5H10NO, N-methyl 2-pyrrolidone; solvent, floor stripper"
18	101.00	"PEG, [A1B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
19	101.00	"DMSO, [M+Na]+, C2H6OS, Dimethylsulfoxide, solvent"
20	101.08	"Methanol/Water, [A2B2+H]+, [MeOH]n[H2O]m, ESI solvents"
21	102.05	"Acetonitrile/Acetic Acid, [A1B1+H]+, (CH3CN)n(CH3COOH)m, ESI solvents"
22	102.13	"TEA, [M+H]+, C6H15N, Triethylamine, buffer"
23	103.96	"ACN, [M+63Cu]+, C2H3N, Acetonitrile, solvent"
24	104.99	"Sodium acetate, [M+Na]+, C2H3O2Na, ESI solvents"
25	105.04	"ACN, [M2+Na]+, C2H3N, Acetonitrile, solvent"
26	105.95	"ACN, [M+65Cu]+, C2H3N, Acetonitrile, solvent"
27	107.07	"PEG, [A2B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
