	C	H	O	Si	N	index	Mz	Charge	theoretical_isotope_0	theoretical_isotope_1	theoretical_isotope_2	theoretical_isotope_3	theoretical_isotope_4	theoretical_isotope_5	theoretical_isotope_6	theoretical_isotope_7	theoretical_isotope_8	theoretical_isotope_9	theoretical_isotope_10	theoretical_isotope_11
0	9	27	5	5.0	0.0	cyclosiloxane_5-CH4	355.06993260935343	1	0.596827567986362	0.2131522141404491	0.14008211541107618	0.036013438127904335	0.012430930951921968	0.0024016386186998086	0.000550052833591196	8.107008842611553e-05	1.3188952627432931e-05	1.4833261011068384e-06	1.737706353391219e-07	1.4926476764500615e-08
1	10	11	4	0.0	0.0	Dimethyl phthalate (DMP)	195.0651848006858	1	0.8889176038175619	0.09934336915013868	0.012335079689743683	0.000965987837732893	6.65964061560734e-05	3.7771683587262624e-06	1.8136463413880327e-07	7.512249756840682e-09	2.641267096826064e-10	7.867435140810549e-12	1.9679685088840253e-13	3.980320224281257e-15
2	10	31	5	5.0	0.0	cyclosiloxane_5	371.1012327383095	1	0.5902193338081533	0.21749618080250338	0.14092840904339826	0.037189282657276425	0.012698534067094664	0.0025148637918445582	0.0005710026442290845	8.63632716704649e-05	1.3956354195317012e-05	1.6154624287461565e-06	1.8857540179353565e-07	1.6720664769974926e-08
3	10	34	5	5.0	1.0	cyclosiloxane_5+NH4	388.12778183945846	1	0.5878704889909354	0.21898354504913808	0.1412353885996026	0.03760337979914113	0.012796438021033781	0.0025555269430303936	0.0005787723653817748	8.829916759673176e-05	1.4245846180866831e-05	1.6647833410895822e-06	1.9428321078268583e-07	1.740798901418135e-08
4	11	33	6	6.0	0.0	cyclosiloxane_6-CH4	429.0887239570136	1	0.5371078381910676	0.2313962705401013	0.16001184618158626	0.04927097796113142	0.018443826562883292	0.004313217471195197	0.0011068445722462379	0.00020217991633210544	3.841050191856417e-05	5.541476219430449e-06	8.013534703853789e-07	9.154359566449255e-08
5	12	15	4	0.0	0.0	Diethyl phthalate (DEP)	223.0964849296418	1	0.8697394914025944	0.11655549208645301	0.014344166345325798	0.0012263095878052746	8.775417761888771e-05	5.268256021476701e-06	2.681480614328553e-07	1.1779250319202288e-08	4.450818354414858e-10	1.440622635862246e-11	3.975778969939758e-13	9.166164200716478e-15
6	12	37	6	6.0	0.0	cyclosiloxane_6	445.1200240859696	1	0.53116083680557	0.23486741433987868	0.16084210177284244	0.05052399054117988	0.01879387358421887	0.004472885978187189	0.0011431322968340056	0.0002123961603172047	4.026186904574055e-05	5.912602367249695e-06	8.54921758189645e-07	9.955955464169207e-08
7	12	40	6	6.0	1.0	cyclosiloxane_6+NH4	462.1465731871186	1	0.529047021979156	0.23605021053216207	0.16113900611259635	0.05096442946587827	0.018920705349665494	0.0045300734762684204	0.0011564387865785467	0.00021611384823845293	4.094985282258343e-05	6.049853921903671e-06	8.751426726842265e-07	1.0257921494800224e-07
8	13	39	7	7.0	0.0	cyclosiloxane_7-CH4	503.10751530467365	1	0.4833637809654163	0.24385509136834416	0.17717444645934197	0.06307934420193065	0.02540680973747821	0.00689008699238365	0.0019467158188413982	0.00041749405349344895	8.964607572386659e-05	1.5489879003924264e-05	2.6143358501245904e-06	3.669460194598533e-07
9	14	15	4	0.0	0.0	Diallyl phthalate (DAP)	247.0964849296418	1	0.8513643176518977	0.13264544069434248	0.016628434109774805	0.0015199216907987527	0.00011372553884929823	7.171347156892137e-06	3.850579541051881e-07	1.78624782714049e-08	7.181031282833003e-10	2.4964764543001573e-11	7.482047879208585e-13	1.9123936788693638e-14
10	14	19	4	0.0	0.0	Di-n-propyl phthalate (DPP)	251.12778505859782	1	0.8509751406166256	0.13297868191087514	0.01668226852040896	0.0015269305592871918	0.00011437806712500336	7.220805266546514e-06	3.88208838960792e-07	1.8033033238019968e-08	7.260697499405322e-10	2.528700623831492e-11	7.594617699573203e-13	1.9450883190877253e-14
11	14	43	7	7.0	0.0	cyclosiloxane_7	519.1388154336297	1	0.47801184813050934	0.24658459151532194	0.1779543482983301	0.06437231400440546	0.02583495433952618	0.007099507489657838	0.002002685017021626	0.00043477345020883615	9.335298724397537e-05	1.6327464418000115e-05	2.7598385189119034e-06	3.9232796875712454e-07
12	14	46	7	7.0	1.0	cyclosiloxane_7+NH4	536.1653645347787	1	0.4761095457358965	0.24750887892324278	0.17822979385048643	0.06482587535734272	0.02598899411176105	0.0071743294434429075	0.002023051053391364	0.0004410362033341254	9.471731919222543e-05	1.663520716961204e-05	2.814066803612213e-06	4.0179008003136364e-07
13	15	45	8	8.0	0.0	cyclosiloxane_8-CH4	577.1263066523338	1	0.434997458864246	0.2515037738460222	0.19166159410958072	0.07701286013714176	0.03316506707464512	0.010144266474780474	0.003117254392249272	0.0007592668605976008	0.00018055634975627576	3.587408321281937e-05	6.847081739312186e-06	1.123916775536706e-06
14	16	23	4	0.0	0.0	Di-n-butyl phthalate (DBP); Diisobutyl phthalate (DIBP)	279.1590851875538	1	0.8326156246851154	0.1486389689097798	0.01932516163991126	0.0018740458788308874	0.00014726907209001771	9.748980355987402e-06	5.515684818832384e-07	2.70138153448059e-08	1.1524147899246833e-09	4.284660499440655e-11	1.3862528208718323e-12	3.879181279129852e-14
15	16	49	8	8.0	0.0	cyclosiloxane_8	593.1576067812898	1	0.4301810508608436	0.2536052965009953	0.19236676144607243	0.07831432427918827	0.03366389599110879	0.010404873393232636	0.0031968559441737624	0.0007859269783693993	0.0001871016777713944	3.750887891739591e-05	7.175150925773383e-06	1.1885662921733983e-06
16	16	52	8	8.0	1.0	cyclosiloxane_8+NH4	610.1841558824389	1	0.4284690965518235	0.2543109662891362	0.19261277690711454	0.07876986618891782	0.03384237835075898	0.01049776959908978	0.003225656724279412	0.000795557160807755	0.00018949436055994004	3.810651590231393e-05	7.296370170646354e-06	1.2124889989487334e-06
17	17	51	9	9.0	0.0	cyclosiloxane_9-CH4	651.1450979999939	1	0.391470765228663	0.2551801989928765	0.20360059660677204	0.09072639562334298	0.041554865743812834	0.014062318429892173	0.0046565971721049156	0.0012599216155393944	0.00032715229798488854	7.280156683473903e-05	1.539547478807235e-05	2.8633448997520616e-06
18	18	25	4	0.0	0.0	Butyl cyclohexyl phthalate (BCP)	305.1747352520318	1	0.814838470854812	0.16341044882478759	0.02221696817287002	0.002268568786576346	0.00018686027853734825	1.2942396977155208e-05	7.677979541397734e-07	3.9509704505386773e-08	1.7771055488356876e-09	7.005657380219567e-11	2.420447030680494e-12	7.307230145185662e-14
19	18	27	4	0.0	0.0	Di-n-pentyl phthalate (DNPP)	307.1903853165098	1	0.8146522094258236	0.1635616274015372	0.022249709427837924	0.0022731928276999154	0.00018734274894191243	1.2982703408628228e-05	7.706194753058743e-07	3.967849449297976e-08	1.7858511159492488e-09	7.045225239475138e-11	2.436113411408521e-12	7.360135291824767e-14
20	18	55	9	9.0	0.0	cyclosiloxane_9	667.1763981289499	1	0.3871362963982742	0.25675208862964494	0.2042146481319273	0.09201014685947806	0.0421149024697928	0.014373854057122396	0.004763207925697817	0.0012983493392305626	0.00033770603424144844	7.567671261331563e-05	1.604443613092886e-05	3.0049446249118825e-06
21	18	58	9	9.0	1.0	cyclosiloxane_9+NH4	684.202947230099	1	0.38559564357437404	0.25727363707893836	0.2044260021758581	0.09245842049844619	0.04231436706535355	0.014484663130773996	0.004801608630390575	0.0013121897320207171	0.0003415441893982014	7.672351042766912e-05	1.6282711922794816e-05	3.057046125391315e-06
22	19	21	4	0.0	0.0	Butyl benzyl phthalate (BBP)	313.1434351230758	1	0.8065535793723735	0.17016362903183446	0.023674621297067315	0.0024741399584531105	0.00020827966150841265	1.4729478086848384e-05	8.927398644372705e-07	4.697424390289374e-08	2.1633322039745905e-09	8.750517196777056e-11	3.1107292004018987e-12	9.699345705522318e-14
23	19	57	10	10.0	0.0	cyclosiloxane_10-CH4	725.1638893476539	1	0.3522994374009458	0.25560272881138474	0.21314371406185967	0.10394516431159218	0.05041085934642364	0.018609998756113882	0.006592461057361512	0.0019505600100523956	0.0005472357764233799	0.0001339372637712984	3.093176949963761e-05	6.380070669780129e-06
24	20	27	4	0.0	0.0	Dicyclohexyl phthalate (DCP)	331.1903853165098	1	0.797440876558268	0.17748339863539278	0.025363242888456056	0.0027187831093461513	0.00023445987219539378	1.696879345856989e-05	1.053043704856074e-06	5.678700689423332e-08	2.6840567823887306e-09	1.1166881291201649e-10	4.094995823220436e-12	1.321988917605854e-13
25	20	31	4	0.0	0.0	Di-n-hexyl phthalate (DNHP); Diisohexyl phthalate (DIHxP)	335.22168544546577	1	0.7970763490936925	0.17777119623981413	0.025433823991303867	0.002729288636040379	0.00023561255471912497	1.7069725958918632e-05	1.060431644982187e-06	5.724959391545086e-08	2.7091865127045524e-09	1.1286407268508852e-10	4.1449833817053546e-12	1.3403380029153922e-13
