name	C	H	O
Dimethyl phthalate (DMP)	10	10	4
Diethyl phthalate (DEP)	12	14	4
Diallyl phthalate (DAP)	14	14	4
Di-n-propyl phthalate (DPP)	14	18	4
Di-n-butyl phthalate (DBP)	16	22	4
Diisobutyl phthalate (DIBP)	16	22	4
Butyl cyclohexyl phthalate (BCP)	18	24	4
Di-n-pentyl phthalate (DNPP)	18	26	4
Dicyclohexyl phthalate (DCP)	20	26	4
Butyl benzyl phthalate (BBP)	19	20	4
Di-n-hexyl phthalate (DNHP)	20	30	4
Diisohexyl phthalate (DIHxP)	20	30	4
Diisoheptyl phthalate (DIHpP)	22	34	4
Butyl decyl phthalate (BDP)	22	34	4
Di(2-ethylhexyl) phthalate (DEHP)	24	38	4
Di(n-octyl) phthalate (DNOP)	24	38	4
Diisooctyl phthalate (DIOP)	24	38	4
n-Octyl n-decyl phthalate (ODP)	26	42	4
Diisononyl phthalate (DINP)	26	42	4
Diisodecyl phthalate ( DIDP)	28	46	4
Diundecyl phthalate ( DUP)	30	50	4
Diisoundecyl phthalate( DIUP)	30	50	4
Ditridecyl phthalate (DTDP)	34	58	4
Diisotridecyl phthalate (DITP)	34	58	4
